z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayModes,massExcess(keV),massExcessUncertainty,betaMinus(keV),betaMinusUncertainty,positronEmission(keV),positronEmissionUncertainty,neutronSeparationEnergy(keV),neutronSeparationEnergyUncertainty,protonSeparationEnergy(keV),protonSeparationEnergyUncertainty,alpha(keV),alphaUncertainty,twoNeutronSeparationEnergy(keV),twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy(keV),twoProtonSeparationEnergyUncertainty,bindingEnergy(keV),bindingEnergyUncertainty
3,4,7Li,0.0,STABLE,,,3/2-,,14907.105,4,-861.89,7,-12188,8,7251.094,5,9973.96,5,-2467.622,4,1.291E+4,5,3.256E+4,9,5606.4401,6
3,5,8Li,0.0,839.9,ms,9,2+,B- = 100.00,20945.81,5,16004.13,6,-11685.88,10,2032.62,5,12416,8,-6.10E+3,10,9283.71,5,3.55E+4,3,5159.712,6
3,5,8Li,0.0,839.9,ms,9,2+,BA = 100.00,20945.81,5,16004.13,6,-11685.88,10,2032.62,5,12416,8,-6.10E+3,10,9283.71,5,3.55E+4,3,5159.712,6
3,6,9Li,0.0,178.3,ms,4,3/2-,B- = 100.00,24954.91,19,13606.45,20,-1.700E+4,5,4062.22,19,13943.75,21,-1.036E+4,9,6094.84,19,3.88E+4,10,5037.769,21
3,6,9Li,0.0,178.3,ms,4,3/2-,BN ? 50.00,24954.91,19,13606.45,20,-1.700E+4,5,4062.22,19,13943.75,21,-1.036E+4,9,6094.84,19,3.88E+4,10,5037.769,21
3,7,10Li,0.0,,,,(1-:2-),N = 100.00,33053,13,20445,13,-1.717E+4,9,-26,13,1.517E+4,5,-1.12E+4,3,4036,13,,,4531.4,13
3,8,11Li,0.0,8.75,ms,14,3/2-,B- = 100.00,40728.3,6,20551.1,7,,,396,13,1.576E+4,9,-1.08E+4,10,369.3,6,,,4155.38,6
3,8,11Li,0.0,8.75,ms,14,3/2-,BN = 86.60,40728.3,6,20551.1,7,,,396,13,1.576E+4,9,-1.08E+4,10,369.3,6,,,4155.38,6
3,8,11Li,0.0,8.75,ms,14,3/2-,B2N = 4.20,40728.3,6,20551.1,7,,,396,13,1.576E+4,9,-1.08E+4,10,369.3,6,,,4155.38,6
3,8,11Li,0.0,8.75,ms,14,3/2-,B3N = 1.90,40728.3,6,20551.1,7,,,396,13,1.576E+4,9,-1.08E+4,10,369.3,6,,,4155.38,6
3,8,11Li,0.0,8.75,ms,14,3/2-,BNA = 0.03,40728.3,6,20551.1,7,,,396,13,1.576E+4,9,-1.08E+4,10,369.3,6,,,4155.38,6
3,9,12Li,,10,ns,LT,,N ? ,4.901E+4,3,2.393E+4,3,,,-2.1E+2,3,,,,,1.9E+2,3,,,3792,3
3,10,13Li,,,,,,,5.698E+4,7,2.332E+4,7,,,1.0E+2,8,,,,,-1.1E+2,7,,,3508,5
4,1,5Be,,,,,(1/2+),P  ,3.71E+4,20,,,2.44E+4,20,,,-4.5E+3,20,,,,,-7.6E+3,20,0,AP
4,2,6Be,0.0,92,kev,6,0+,P = 100.00,18375,5,-2.89E+4,20,3266,5,2.68E+4,20,5.9E+2,5,,,,,-1372,5,4487.2,9
4,2,6Be,0.0,92,kev,6,0+,A = 100.00,18375,5,-2.89E+4,20,3266,5,2.68E+4,20,5.9E+2,5,,,,,-1372,5,4487.2,9
4,3,7Be,0.0,53.22,d,6,3/2-,EC = 100.00,15769.00,7,-1.191E+4,3,-160.10,7,10677,5,5606.85,7,-1587.14,7,3.75E+4,20,10040,20,5371.549,10
4,4,8Be,0.0,5.57,ev,25,0+,A = 100.00,4941.67,4,-17979.9,10,-17026.13,6,18898.64,8,17254.40,4,91.84,4,29576,5,27228.37,6,7062.436,4
4,5,9Be,0.0,STABLE,,,3/2-,,11348.45,8,-1068.0,9,-14628.45,20,1664.54,8,16886.32,9,-2308,20,20563.18,10,29303,8,6462.669,9
4,6,10Be,0.0,1.51E+6,y,4,0+,B- = 100.00,12607.49,8,556.88,8,-21467,13,6812.28,5,19636.39,20,-7409.52,10,8476.82,9,33580.14,12,6497.631,8
4,7,11Be,0.0,13.76,s,7,1/2+,B- = 100.00,20177.17,24,11509.46,24,-21573.1,7,501.6,3,20164,13,-8321,8,7313.92,25,3.534E+4,5,5952.540,22
4,7,11Be,0.0,13.76,s,7,1/2+,BA = 3.10,20177.17,24,11509.46,24,-21573.1,7,501.6,3,20164,13,-8321,8,7313.92,25,3.534E+4,5,5952.540,22
4,7,11Be,0.0,13.76,s,7,1/2+,BN ? ,20177.17,24,11509.46,24,-21573.1,7,501.6,3,20164,13,-8321,8,7313.92,25,3.534E+4,5,5952.540,22
4,8,12Be,0.0,21.47,ms,4,0+,B- = 100.00,25077.8,19,11708.4,23,-2.495E+4,3,3170.7,19,22939.5,20,-8956.8,19,3672.4,19,3.870E+4,9,5720.72,16
4,8,12Be,0.0,21.47,ms,4,0+,BN = 0.50,25077.8,19,11708.4,23,-2.495E+4,3,3170.7,19,22939.5,20,-8956.8,19,3672.4,19,3.870E+4,9,5720.72,16
4,9,13Be,0.0,2.7E-21,s,18,(1/2-),N  ,33659,10,17097,10,-2.434E+4,7,-510,10,2.264E+4,3,-9.70E+3,5,2661,10,,,5241.4,8
4,11,15Be,,0.58,mev,20,(5/2+),N = 100.00,4.983E+4,17,2.087E+4,17,,,-1.80E+3,10,,,,,0,AP,,,4541,11
4,12,16Be,,0.8,mev,2,0+,N = 100.00,5.745E+4,17,2.034E+4,17,,,4.5E+2,14,,,,,-1.35E+3,10,,,4285,10
4,10,14Be,0.0,4.35,ms,17,0+,B- = 100.00,3.995E+4,13,1.629E+4,13,,,1.78E+3,13,2.432E+4,15,-1.167E+4,16,1.27E+3,13,,,4994,9
4,10,14Be,0.0,4.35,ms,17,0+,BN = 86.00,3.995E+4,13,1.629E+4,13,,,1.78E+3,13,2.432E+4,15,-1.167E+4,16,1.27E+3,13,,,4994,9
4,10,14Be,0.0,4.35,ms,17,0+,B2N = 5.00,3.995E+4,13,1.629E+4,13,,,1.78E+3,13,2.432E+4,15,-1.167E+4,16,1.27E+3,13,,,4994,9
4,10,14Be,0.0,4.35,ms,17,0+,B3N ? 0.00,3.995E+4,13,1.629E+4,13,,,1.78E+3,13,2.432E+4,15,-1.167E+4,16,1.27E+3,13,,,4994,9
4,10,14Be,0.0,4.35,ms,17,0+,BA ? ,3.995E+4,13,1.629E+4,13,,,1.78E+3,13,2.432E+4,15,-1.167E+4,16,1.27E+3,13,,,4994,9
5,12,17B,0.0,5.08,ms,5,(3/2-),B- = 100.00,4.372E+4,20,2.268E+4,20,,,1.47E+3,21,2.10E+4,3,-1.569E+4,22,1.38E+3,21,,,5270,12
5,12,17B,0.0,5.08,ms,5,(3/2-),BN = 63.00,4.372E+4,20,2.268E+4,20,,,1.47E+3,21,2.10E+4,3,-1.569E+4,22,1.38E+3,21,,,5270,12
5,12,17B,0.0,5.08,ms,5,(3/2-),B2N = 12.00,4.372E+4,20,2.268E+4,20,,,1.47E+3,21,2.10E+4,3,-1.569E+4,22,1.38E+3,21,,,5270,12
5,12,17B,0.0,5.08,ms,5,(3/2-),B3N = 3.50,4.372E+4,20,2.268E+4,20,,,1.47E+3,21,2.10E+4,3,-1.569E+4,22,1.38E+3,21,,,5270,12
5,12,17B,0.0,5.08,ms,5,(3/2-),B4N = 0.40,4.372E+4,20,2.268E+4,20,,,1.47E+3,21,2.10E+4,3,-1.569E+4,22,1.38E+3,21,,,5270,12
5,13,18B,0.0,26,ns,LT,(4-),N ? ,5.179E+4,20,2.687E+4,21,,,-5,5,,,,,1.46E+3,21,,,4977,11
5,14,19B,0.0,2.92,ms,13,(3/2-),B- = 100.00,5.98E+4,5,2.74E+4,5,,,0,AP,,,,,0,AP,,,4.72E+3,3
5,14,19B,0.0,2.92,ms,13,(3/2-),BN = 71.80,5.98E+4,5,2.74E+4,5,,,0,AP,,,,,0,AP,,,4.72E+3,3
5,14,19B,0.0,2.92,ms,13,(3/2-),B2N = 16.00,5.98E+4,5,2.74E+4,5,,,0,AP,,,,,0,AP,,,4.72E+3,3
5,14,19B,0.0,2.92,ms,13,(3/2-),B3N LT 9.10,5.98E+4,5,2.74E+4,5,,,0,AP,,,,,0,AP,,,4.72E+3,3
5,15,20B,,,,,,,6.94E+4,5,3.19E+4,6,,,-1.56E+3,15,,,,,-1.5E+3,6,,,4.41E+3,3
5,16,21B,,,,,,,7.84E+4,6,3.27E+4,8,,,-9.1E+2,24,,,,,-2.47E+3,19,,,4.15E+3,3
5,10,15B,0.0,10.18,ms,3,,B- = 100.00,28957,21,19084,21,-2.189E+4,17,2.78E+3,3,1.829E+4,13,-14196,21,3747,21,4.260E+4,7,5880.0,14
5,10,15B,0.0,10.18,ms,3,,BN = 99.60,28957,21,19084,21,-2.189E+4,17,2.78E+3,3,1.829E+4,13,-14196,21,3747,21,4.260E+4,7,5880.0,14
5,10,15B,0.0,10.18,ms,3,,B2N LT 1.50,28957,21,19084,21,-2.189E+4,17,2.78E+3,3,1.829E+4,13,-14196,21,3747,21,4.260E+4,7,5880.0,14
5,11,16B,0.0,190,ps,LT,0-,N  ,37112,25,23418,25,-2.136E+4,17,-83,15,2.000E+4,17,-1.432E+4,4,2.69E+3,3,,,5507.4,15
5,1,6B,,,,,,2P ? ,4.73E+4,20,,,2.79E+4,20,,,-3.E+3,3,,,,,-7.4E+3,20,-5.E+2,3
5,2,7B,0.0,1.4,mev,2,(3/2-),A  ,2.768E+4,3,,,1.089E+4,3,2.77E+4,20,-2.01E+3,3,-3.4E+3,20,,,-1.42E+3,6,3559,4
5,2,7B,0.0,1.4,mev,2,(3/2-),P  ,2.768E+4,3,,,1.089E+4,3,2.77E+4,20,-2.01E+3,3,-3.4E+3,20,,,-1.42E+3,6,3559,4
5,3,8B,0.0,770,ms,3,2+,EC = 100.00,22921.6,10,-12143,18,16957.9,10,1.283E+4,3,136.4,10,-4.83E+3,21,4.05E+4,20,5743.3,10,4717.16,13
5,3,8B,0.0,770,ms,3,2+,EA = 100.00,22921.6,10,-12143,18,16957.9,10,1.283E+4,3,136.4,10,-4.83E+3,21,4.05E+4,20,5743.3,10,4717.16,13
5,4,9B,0.0,0.54,kev,21,3/2-,P = 100.00,12416.5,9,-16494.5,23,46.0,9,18576.4,13,-185.8,9,-1.69E+3,5,3.140E+4,3,17068.6,9,6257.07,10
5,4,9B,0.0,0.54,kev,21,3/2-,2A = 100.00,12416.5,9,-16494.5,23,46.0,9,18576.4,13,-185.8,9,-1.69E+3,5,3.140E+4,3,17068.6,9,6257.07,10
5,5,10B,0.0,STABLE,,,3+,,12050.611,15,-3648.06,7,-1578.87,8,8437.2,9,6586.81,8,-4461.186,15,27013.6,10,23473.14,5,6475.0835,15
5,6,11B,0.0,STABLE,,,3/2-,,8667.708,12,-1981.69,6,-12531.46,24,11454.221,19,11228.75,8,-8664.312,13,19891.4,9,30865.14,19,6927.7323,11
5,7,12B,0.0,20.20,ms,2,1+,B- = 100.00,13369.4,13,13369.4,13,-12730.4,23,3369.6,13,14096.7,13,-10001.3,13,14823.8,13,34261,13,6631.22,11
5,7,12B,0.0,20.20,ms,2,1+,B3A = 1.58,13369.4,13,13369.4,13,-12730.4,23,3369.6,13,14096.7,13,-10001.3,13,14823.8,13,34261,13,6631.22,11
5,8,13B,0.0,17.33,ms,17,3/2-,B- = 100.00,16561.9,10,13436.9,10,-18119,10,4878.8,17,15804.8,22,-10817.9,10,8248.4,10,38744.3,12,6496.42,8
5,8,13B,0.0,17.33,ms,17,3/2-,BN = 0.26,16561.9,10,13436.9,10,-18119,10,4878.8,17,15804.8,22,-10817.9,10,8248.4,10,38744.3,12,6496.42,8
5,9,14B,0.0,12.36,ms,29,2-,B- = 100.00,23664,21,20644,21,-1.731E+4,13,970,21,17284,24,-11814,25,5848,21,3.992E+4,4,6101.6,15
5,9,14B,0.0,12.36,ms,29,2-,BN = 6.04,23664,21,20644,21,-1.731E+4,13,970,21,17284,24,-11814,25,5848,21,3.992E+4,4,6101.6,15
6,2,8C,0.0,230,kev,50,0+,P = 100.00,35064,18,,,11121,18,,,-1.0E+2,3,,,,,-2111,19,3101.5,23
6,2,8C,0.0,230,kev,50,0+,A  ,35064,18,,,11121,18,,,-1.0E+2,3,,,,,-2111,19,3101.5,23
6,3,9C,0.0,126.5,ms,9,(3/2-),EC = 100.00,28911.0,21,,,15472.5,23,14225,18,1299.6,24,-1.07E+4,20,,,1436.0,21,4337.42,24
6,3,9C,0.0,126.5,ms,9,(3/2-),EP = 61.60,28911.0,21,,,15472.5,23,14225,18,1299.6,24,-1.07E+4,20,,,1436.0,21,4337.42,24
6,3,9C,0.0,126.5,ms,9,(3/2-),EA = 38.40,28911.0,21,,,15472.5,23,14225,18,1299.6,24,-1.07E+4,20,,,1436.0,21,4337.42,24
6,4,10C,0.0,19.308,s,4,0+,EC = 100.00,15698.67,7,-2.31E+4,4,2626.06,7,21283.6,21,4006.8,9,-5101,5,35508,18,3820.94,8,6032.043,7
6,5,11C,0.0,20.364,m,14,3/2-,EC = 100.00,10649.40,6,-13716,5,959.69,6,13120.59,9,8690.18,6,-7544.52,9,34404.2,21,15277.00,10,6676.456,5
6,6,12C,0.0,STABLE,,,0+,,0,,-17338.1,10,-14391.4,13,18720.72,6,15956.679,12,-7366.59,4,31841.31,7,27185.43,8,7680.14460,20
6,7,13C,0.0,STABLE,,,1/2-,,3125.00933,23,-2220.5,3,-14458.9,10,4946.3087,5,17533.4,13,-10648.36,8,23667.02,6,31630.10,24,7469.84950,20
6,8,14C,0.0,5700,y,30,0+,B- = 100.00,3019.893,4,156.477,4,-21666,21,8176.434,4,20831.0,10,-12012.51,8,13122.743,4,36635.8,19,7520.3198,4
6,9,15C,0.0,2.449,s,5,1/2+,B- = 100.00,9873.1,8,9771.7,8,-20106,21,1218.1,8,21080,21,-12728.9,8,9394.5,8,38364,10,7100.17,5
6,14,20C,0.0,16.2,ms,35,0+,B- = 100.00,3.750E+4,23,1.574E+4,24,-3.29E+4,6,3.0E+3,3,2.96E+4,6,-2.24E+4,3,3.56E+3,23,,,5961,12
6,14,20C,0.0,16.2,ms,35,0+,BN = 66.00,3.750E+4,23,1.574E+4,24,-3.29E+4,6,3.0E+3,3,2.96E+4,6,-2.24E+4,3,3.56E+3,23,,,5961,12
6,14,20C,0.0,16.2,ms,35,0+,B2N LT 18.60,3.750E+4,23,1.574E+4,24,-3.29E+4,6,3.0E+3,3,2.96E+4,6,-2.24E+4,3,3.56E+3,23,,,5961,12
6,14,20C,0.0,16.2,ms,35,0+,B3N = ?,3.750E+4,23,1.574E+4,24,-3.29E+4,6,3.0E+3,3,2.96E+4,6,-2.24E+4,3,3.56E+3,23,,,5961,12
6,13,19C,0.0,46.2,ms,40,1/2+,B- = 100.00,3.241E+4,10,1.656E+4,10,-2.84E+4,5,5.8E+2,9,2.667E+4,23,-1.984E+4,19,4.76E+3,10,,,6118,5
6,13,19C,0.0,46.2,ms,40,1/2+,BN = 47.00,3.241E+4,10,1.656E+4,10,-2.84E+4,5,5.8E+2,9,2.667E+4,23,-1.984E+4,19,4.76E+3,10,,,6118,5
6,13,19C,0.0,46.2,ms,40,1/2+,B2N = 7.00,3.241E+4,10,1.656E+4,10,-2.84E+4,5,5.8E+2,9,2.667E+4,23,-1.984E+4,19,4.76E+3,10,,,6118,5
6,13,19C,0.0,46.2,ms,40,1/2+,B3N ? ,3.241E+4,10,1.656E+4,10,-2.84E+4,5,5.8E+2,9,2.667E+4,23,-1.984E+4,19,4.76E+3,10,,,6118,5
6,16,22C,0.0,6.1,ms,+14-12,0+,B- = 100.00,5.361E+4,23,2.18E+4,3,,,0,AP,3.21E+4,6,,,35,20,,,5421,11
6,16,22C,0.0,6.1,ms,+14-12,0+,BN = 61.00,5.361E+4,23,2.18E+4,3,,,0,AP,3.21E+4,6,,,35,20,,,5421,11
6,16,22C,0.0,6.1,ms,+14-12,0+,B2N LT 37.00,5.361E+4,23,2.18E+4,3,,,0,AP,3.21E+4,6,,,35,20,,,5421,11
6,16,22C,0.0,6.1,ms,+14-12,0+,B3N ? ,5.361E+4,23,2.18E+4,3,,,0,AP,3.21E+4,6,,,35,20,,,5421,11
6,15,21C,0.0,30,ns,LT,(1/2+),N ? ,4.56E+4,6,2.04E+4,6,-3.38E+4,8,0,AP,3.10E+4,8,,,2.9E+3,6,,,5.67E+3,3
6,17,23C,,,,,,,6.42E+4,10,2.75E+4,11,,,-2.5E+3,10,,,,,-2.4E+3,12,,,5.08E+3,4
6,10,16C,0.0,0.747,s,8,0+,B- = 100.00,13694,4,8010,4,-24440,25,4250,4,22552,21,-13809,4,5468,4,4.084E+4,13,6922.05,22
6,10,16C,0.0,0.747,s,8,0+,BN = 99.20,13694,4,8010,4,-24440,25,4250,4,22552,21,-13809,4,5468,4,4.084E+4,13,6922.05,22
6,12,18C,0.0,92,ms,2,0+,B- = 100.00,2.492E+4,3,1.181E+4,4,-2.790E+4,21,4.18E+3,3,2.609E+4,21,-1.746E+4,14,4.92E+3,3,4.711E+4,17,6426.1,17
6,12,18C,0.0,92,ms,2,0+,BN = 22.00,2.492E+4,3,1.181E+4,4,-2.790E+4,21,4.18E+3,3,2.609E+4,21,-1.746E+4,14,4.92E+3,3,4.711E+4,17,6426.1,17
6,12,18C,0.0,92,ms,2,0+,B3N ? ,2.492E+4,3,1.181E+4,4,-2.790E+4,21,4.18E+3,3,2.609E+4,21,-1.746E+4,14,4.92E+3,3,4.711E+4,17,6426.1,17
6,12,18C,0.0,92,ms,2,0+,B2N ? ,2.492E+4,3,1.181E+4,4,-2.790E+4,21,4.18E+3,3,2.609E+4,21,-1.746E+4,14,4.92E+3,3,4.711E+4,17,6426.1,17
6,11,17C,0.0,191,ms,6,3/2+,B- = 100.00,21032,17,13162,23,-2.371E+4,20,734,18,2.337E+4,3,-15052,20,4984,17,4.337E+4,17,6558.0,10
6,11,17C,0.0,191,ms,6,3/2+,BN = 28.40,21032,17,13162,23,-2.371E+4,20,734,18,2.337E+4,3,-15052,20,4984,17,4.337E+4,17,6558.0,10
6,11,17C,0.0,191,ms,6,3/2+,B2N ? ,21032,17,13162,23,-2.371E+4,20,734,18,2.337E+4,3,-15052,20,4984,17,4.337E+4,17,6558.0,10
7,15,22N,0.0,19.5,ms,20,(0-:1-),B- = 100.00,3.176E+4,21,2.248E+4,22,-2.29E+4,3,1.54E+3,25,2.12E+4,6,-2.25E+4,3,6.14E+3,22,5.22E+4,6,6379,9
7,15,22N,0.0,19.5,ms,20,(0-:1-),BN = 34.00,3.176E+4,21,2.248E+4,22,-2.29E+4,3,1.54E+3,25,2.12E+4,6,-2.25E+4,3,6.14E+3,22,5.22E+4,6,6379,9
7,15,22N,0.0,19.5,ms,20,(0-:1-),B2N = 12.00,3.176E+4,21,2.248E+4,22,-2.29E+4,3,1.54E+3,25,2.12E+4,6,-2.25E+4,3,6.14E+3,22,5.22E+4,6,6379,9
7,15,22N,0.0,19.5,ms,20,(0-:1-),B3N ? ,3.176E+4,21,2.248E+4,22,-2.29E+4,3,1.54E+3,25,2.12E+4,6,-2.25E+4,3,6.14E+3,22,5.22E+4,6,6379,9
7,14,21N,0.0,84.8,ms,67,(1/2-),B- = 100.00,2.523E+4,13,1.717E+4,13,-2.14E+4,6,4.61E+3,16,1.96E+4,3,-2.091E+4,24,6.77E+3,14,4.91E+4,5,6609,6
7,14,21N,0.0,84.8,ms,67,(1/2-),BN = 86.00,2.523E+4,13,1.717E+4,13,-2.14E+4,6,4.61E+3,16,1.96E+4,3,-2.091E+4,24,6.77E+3,14,4.91E+4,5,6609,6
7,14,21N,0.0,84.8,ms,67,(1/2-),B2N ? ,2.523E+4,13,1.717E+4,13,-2.14E+4,6,4.61E+3,16,1.96E+4,3,-2.091E+4,24,6.77E+3,14,4.91E+4,5,6609,6
7,14,21N,0.0,84.8,ms,67,(1/2-),B3N ? ,2.523E+4,13,1.717E+4,13,-2.14E+4,6,4.61E+3,16,1.96E+4,3,-2.091E+4,24,6.77E+3,14,4.91E+4,5,6609,6
7,17,24N,0.0,52,ns,LT,,N ? ,4.69E+4,4,2.84E+4,4,,,-2.1E+3,6,2.45E+4,11,-2.49E+4,7,1.0E+3,5,,,5887,17
7,16,23N,0.0,14.1,ms,+12-13,,B- = 100.00,3.67E+4,4,2.21E+4,4,-2.85E+4,11,3.1E+3,5,2.42E+4,5,-2.55E+4,7,4.7E+3,4,5.62E+4,7,6237,18
7,16,23N,0.0,14.1,ms,+12-13,,BN = 42.20,3.67E+4,4,2.21E+4,4,-2.85E+4,11,3.1E+3,5,2.42E+4,5,-2.55E+4,7,4.7E+3,4,5.62E+4,7,6237,18
7,16,23N,0.0,14.1,ms,+12-13,,B2N = 8.00,3.67E+4,4,2.21E+4,4,-2.85E+4,11,3.1E+3,5,2.42E+4,5,-2.55E+4,7,4.7E+3,4,5.62E+4,7,6237,18
7,16,23N,0.0,14.1,ms,+12-13,,B3N LT 3.40,3.67E+4,4,2.21E+4,4,-2.85E+4,11,3.1E+3,5,2.42E+4,5,-2.55E+4,7,4.7E+3,4,5.62E+4,7,6237,18
7,18,25N,,,,,,,5.60E+4,5,2.87E+4,5,,,-1.0E+3,6,,,-2.48E+4,8,-3.1E+3,7,,,5613,20
7,11,18N,0.0,619,ms,2,1-,B- = 100.00,13113,19,13896,19,-1.283E+4,4,2828,24,1.521E+4,3,-1.298E+4,3,8713,19,3.858E+4,3,7038.6,10
7,11,18N,0.0,619,ms,2,1-,BA = 12.20,13113,19,13896,19,-1.283E+4,4,2828,24,1.521E+4,3,-1.298E+4,3,8713,19,3.858E+4,3,7038.6,10
7,11,18N,0.0,619,ms,2,1-,BN = 10.90,13113,19,13896,19,-1.283E+4,4,2828,24,1.521E+4,3,-1.298E+4,3,8713,19,3.858E+4,3,7038.6,10
7,11,18N,0.0,619,ms,2,1-,B2N ? ,13113,19,13896,19,-1.283E+4,4,2828,24,1.521E+4,3,-1.298E+4,3,8713,19,3.858E+4,3,7038.6,10
7,10,17N,0.0,4171,ms,4,1/2-,B- = 100.00,7870,15,8679,15,-14184,23,5885,15,13113,15,-11117,15,8374,15,3.567E+4,3,7286.2,9
7,10,17N,0.0,4171,ms,4,1/2-,BN = 95.10,7870,15,8679,15,-14184,23,5885,15,13113,15,-11117,15,8374,15,3.567E+4,3,7286.2,9
7,10,17N,0.0,4171,ms,4,1/2-,BA = 0.00,7870,15,8679,15,-14184,23,5885,15,13113,15,-11117,15,8374,15,3.567E+4,3,7286.2,9
7,13,20N,0.0,136,ms,3,-,B- = 100.00,2.177E+4,8,1.797E+4,8,-1.676E+4,24,2.16E+3,8,1.794E+4,13,-1.777E+4,8,7.49E+3,8,4.460E+4,22,6709,4
7,13,20N,0.0,136,ms,3,-,BN = 42.90,2.177E+4,8,1.797E+4,8,-1.676E+4,24,2.16E+3,8,1.794E+4,13,-1.777E+4,8,7.49E+3,8,4.460E+4,22,6709,4
7,13,20N,0.0,136,ms,3,-,B2N ? ,2.177E+4,8,1.797E+4,8,-1.676E+4,24,2.16E+3,8,1.794E+4,13,-1.777E+4,8,7.49E+3,8,4.460E+4,22,6709,4
7,12,19N,0.0,336,ms,3,,B- = 100.00,15856,16,12523,17,-1.758E+4,10,5328,25,1.635E+4,3,-1.553E+4,3,8156,22,4.244E+4,20,6948.5,9
